0	0	Region1	Region2	Region3	Region4A	Region4B	Region5	NounTypes
1	EXCLUDED	lifeguard	children	admired	was brave	was curious	excited everyone.          	CLAIM FACT
1	adj	commander	president	appointed	was fired	was ignored	annoyed people.	CLAIM FACT
1	adj	criminal	officer	arrested	was innocent	was reliable	turned out to be entirely bogus.	CLAIM
1	adj	victim	criminal	assaulted	remained crippled	remained hidden	was unnerving.            	CLAIM FACT
1	vn	surgeon	nurse	assisted	read the news	made the news	was not a secret.	CLAIM FACT
1	adj	worker	thug	attacked	was rescued	was questioned	surprised people.  	CLAIM FACT
1	free	pianist	sponsors	backed	played sonatas	sounded hopeful	pleased everyone.	CLAIM FACT
1	free	actor	producer	blamed	got very sick	made everyone cry	was sad to hear.	FACT CLAIM
1	free	politician	banker	bribed	laundered money	disappointed people	came as a shock to his supporters.	FACT CLAIM ACCUSATION
1	vn	paramedic	swimmer	called	saved the children	pleased the children	was good news.	CLAIM FACT
1	free	extremist	agent	caught	received awards	received attention	was unfortunate.	FACT CLAIM
1	vn	trader	businessman	consulted	tricked Kim	hurt Kim	did not bother Mary.	CLAIM FACT ACCUSATION
1	adj	mayor	farmer	disliked	was elected	was refuted	did not bother the farmer.       	CLAIM FACT
1	free	neighbor	woman	distrusted	poisoned the dog	startled the child	seemed to be a malicious smear.      	CLAIM ACCUSATION
1	vn	senator	diplomat	encountered	opposed Josh	bothered Josh	was absolutely true.	CLAIM
1	adj	preacher	parishioners	fired	was lying	was annoying	startled Anne.         	CLAIM FACT ACCUSATION
1	adj	student	professor	hated	was lazy	was foolish	gained traction in the university.	CLAIM ACCUSATION
1	vn	counselor	writer	hired	hated the janitor	surprised the janitor	was dismissed as untrue.	CLAIM
1	free	singer	fans	idolized	won a prize	made people happy	was exciting.	CLAIM FACT
1	vn	CEO	employee	impressed	teased everyone	annoyed everyone	drove Bill crazy	CLAIM FACT ACCUSATION
1	adj	assistant	philanthropist	instructed	proved inept	proved wrong	was no surprise	CLAIM FACT
1	adj	tycoon	journalist	interviewed	was evil	was idiotic	could not be disproven.	CLAIM ACCUSATION
1	free	boy	bully	intimidated	plagiarized his homework	drove everyone crazy	dismayed his parents.	CLAIM FACT ACCUSATION
1	free	sculptor	painter	invited	made sculptures	made headlines	did not surprise anyone.	CLAIM FACT
1	free	principal	teacher	liked	turned everyone down	calmed everyone down	surprised the parents.	CLAIM FACT
1	free	dancer	audience	loved	was interviewed on TV	was featured on TV	seemed exciting.	CLAIM FACT
1	adj	entrepreneur 	trickster	misled	was admired everywhere	was appreciated everywhere	gave Mary fits.	CLAIM FACT
1	vn	musician	father	missed	injured the artist	displeased the artist	came as a surprise.	CLAIM FACT
1	adj	babysitter	parent	paid	seemed competent	seemed trustworthy	turned out to be unfounded	CLAIM
1	free	engineer	tenant	phoned	repaired the TV	appeared on TV	was very believable	CLAIM
1	adj	mobster	media	portrayed	seemed corrupt	seemed unreliable	gave Josh the chills.	CLAIM FACT
1	adj	trickster	witness	recognized	was arrested	was acknowledged	calmed people down.	CLAIM FACT
1	vn	vendor	storeowner	recruited	welcomed the client	satisfied the client	had excited the boss.	CLAIM FACT
1	free	scientist	mayor	relied on	had faked data	couldnâ€™t be trusted	made Sue angry.	CLAIM ACCUSATION
1	vn	bureaucrat	guard	shouted at	instructed the newscaster	disturbed the newscaster	was bogus.	CLAIM FACT
1	adj	employee	manager	supervised	was reprimanded	was dismissed	devastated his family.	CLAIM FACT
1	adj	president	commander	supported	was impeached	was confirmed	shocked the people.	CLAIM FACT
1	adj	clerk	customer	talked to	was heroic	was sad	appeared to be a lie	CLAIM
1	adj	driver	tourist	thanked	was ill	was crazy	bothered Bill.	CLAIM FACT
1	vn	thief	detective	tracked	robbed everyone	frightened everyone	was disconcerting. 	CLAIM FACT ACCUSATION
1	vn	athlete	coach	trained	expressed anger	provoked anger	came as a disappointment.	FACT CLAIM ACCUSATION
1	free	runner	psychiatrist	treated	won the marathon	was widely known	seemed very interesting.	CLAIM FACT
1	adj	doctor	patient	visited	was talented	was credible	impressed the whole city.	CLAIM FACT
1	vn	pediatrician	receptionist	worked for	mistrusted the parent	disturbed the parent	had troubled people. 	CLAIM FACT
